"Id","SalePrice"
1461,132689.370440344
1462,159956.71565786
1463,180112.578562823
1464,186819.409779783
1465,190983.721846079
1466,193525.894984813
1467,185638.512429964
1468,177237.789309076
1469,176247.36113236
1470,120099.268882319
1471,196181.18354576
1472,95422.7850043683
1473,98084.3837619153
1474,149413.465496848
1475,115507.924055323
1476,359253.644154332
1477,259522.361985657
1478,306183.688645946
1479,280095.938072978
1480,449066.360975083
1481,294270.523762053
1482,205638.403466349
1483,187322.511008788
1484,176222.43197683
1485,174385.778690782
1486,205372.140796308
1487,274604.730735055
1488,232534.473995786
1489,209645.195146635
1490,224597.151049478
1491,203168.399358035
1492,105962.506817247
1493,166685.28451273
1494,305073.836255961
1495,284372.032809069
1496,220581.878620623
1497,187556.514359292
1498,160473.536109632
1499,156079.360788161
1500,161101.037204778
1501,172348.925580928
1502,161244.948472911
1503,251281.897842458
1504,229319.379870509
1505,219299.379170444
1506,165594.81314242
1507,267557.773179211
1508,182962.923859547
1509,155047.213411953
1510,150357.001512325
1511,147003.467027263
1512,174710.712040191
1513,140359.873933047
1514,150725.555137155
1515,163443.290101368
1516,147559.666959335
1517,171404.162860122
1518,133863.003380181
1519,230188.729137763
1520,138071.912690466
1521,143384.788255878
1522,161585.233075778
1523,107296.742511391
1524,123883.852794912
1525,133635.290727057
1526,128802.87376325
1527,105296.687152516
1528,126186.789917069
1529,137442.647891965
1530,167970.308112741
1531,124473.707934422
1532,104733.832024153
1533,141391.568643543
1534,116713.966294736
1535,152774.743704254
1536,121205.1078457
1537,92686.353629409
1538,146897.41465621
1539,170577.369633721
1540,101768.646748976
1541,134960.224518377
1542,134030.512402208
1543,193680.172144545
1544,100526.679370294
1545,103730.678075778
1546,123211.154132139
1547,135717.485872635
1548,128296.456846948
1549,106812.217963943
1550,132641.866805669
1551,117770.068492911
1552,130663.071589628
1553,146671.103140615
1554,119515.893888885
1555,178673.387400325
1556,95953.9364392868
1557,107187.467904756
1558,98388.7477014282
1559,83905.1256751969
1560,138966.470786629
1561,121619.63089425
1562,129407.646753843
1563,121060.147725727
1564,152873.645286992
1565,157783.073669966
1566,208089.603686871
1567,88181.9214758508
1568,223212.728390288
