"Id","SalePrice"
1461,126883.928998124
1462,163955.228374532
1463,179294.038626326
1464,202222.654736125
1465,190474.882036248
1466,176993.914415851
1467,183219.138161464
1468,167369.703488509
1469,192753.648033296
1470,117808.072692772
1471,192282.100004691
1472,98356.4937054971
1473,98065.0979557619
1474,153527.773016122
1475,119969.399424015
1476,375779.87571724
1477,265546.829399297
1478,283853.578066968
1479,285392.322291343
1480,474393.024372575
1481,319635.418490004
1482,211506.20713193
1483,182375.557276667
1484,168618.289242512
1485,183128.428817517
1486,200136.781457581
1487,315270.003912867
1488,239285.110764959
1489,204441.083580202
1490,220308.078846856
1491,199412.518892621
1492,101022.904329393
1493,180226.182277188
1494,291511.955836967
1495,286613.038809611
1496,225678.316741207
1497,186377.588944281
1498,168543.558928517
1499,157619.651804776
1500,153063.951447804
1501,171913.026787499
1502,157050.279736512
1503,272683.63847238
1504,242574.102871061
1505,225341.756316873
1506,188216.895990467
1507,263181.545710205
1508,200525.890133772
1509,157972.70589112
1510,143017.640958768
1511,147993.443100493
1512,176172.969053567
1513,142493.468738013
1514,158494.628654035
1515,198348.935584719
1516,154566.447581306
1517,180263.824119866
1518,141041.287630252
1519,218697.59312543
1520,129094.801522677
1521,130449.987920078
1522,171899.114951062
1523,111481.342340022
1524,120142.12521874
1525,125452.805186953
1526,116386.737780334
1527,109482.473247975
1528,139761.813466705
1529,140920.656902856
1530,183407.362318453
1531,113800.13687828
1532,99691.7654769987
1533,148139.881205207
1534,118676.558343991
1535,157275.604030023
1536,109392.301647806
1537,74836.4833420018
1538,156711.852495635
1539,185834.278057042
1540,99412.1780102244
1541,139704.975683386
1542,142048.283535672
1543,195946.719306044
1544,98750.089278254
1545,116480.522946204
1546,138258.156422845
1547,139608.998077111
1548,138020.844837364
1549,118261.548144568
1550,131795.384867054
1551,111630.606481613
1552,132126.130762553
1553,140471.567588308
1554,120999.318311188
1555,177855.847630624
1556,98317.5639658651
1557,108134.705680642
1558,105364.083895394
